village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,built_before,built_after,built_before_image_count,built_after_image_count
38,Adomla,Anjaw,Unknown,Arunachal Pradesh,True,28.1135364,96.5375112,32.63931418458326,control (non-VVP),True,0.043821069680139005,0.04596172753730552,17,23
39,Tafraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0886403,96.4529695,33.153023601738646,control (non-VVP),True,0.06924271119026305,0.06804879719322042,17,23
40,Paluliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1167741,96.5706359,33.39289000170816,control (non-VVP),True,0.039061875616291764,0.038326117572266984,17,23
41,Tikromla,Anjaw,Unknown,Arunachal Pradesh,True,28.0971168,96.5348369,34.31385251032624,control (non-VVP),True,0.03895741017145064,0.04460483369655496,17,23
42,Champhai,Anjaw,Unknown,Arunachal Pradesh,True,28.1085212,96.57408,34.3674923444699,control (non-VVP),True,0.03495824252941614,0.0347924888377925,17,23
43,Chirang 266667,Anjaw,Unknown,Arunachal Pradesh,True,28.0684239,96.4069505,34.51581155631747,control (non-VVP),True,0.031997337788768315,0.03244943997543336,17,23
44,Barafu,Anjaw,Unknown,Arunachal Pradesh,True,28.1017011,96.558488,34.52797727422521,control (non-VVP),True,0.047092890154289566,0.042977069784294566,17,23
45,Langum,Anjaw,Unknown,Arunachal Pradesh,True,28.1218659,96.6112899,34.76622900601115,control (non-VVP),True,0.03388032742678135,0.034431746045415115,17,23
46,Khupa Village 266673,Anjaw,Unknown,Arunachal Pradesh,True,28.0771387,96.4736667,34.92083910596573,control (non-VVP),True,0.08467851790722285,0.10344399628293927,17,23
47,Hayugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0893566,96.5438268,35.3843601683056,control (non-VVP),True,0.03397526886746213,0.03340785853924353,17,23
48,Kalamdia,Anjaw,Unknown,Arunachal Pradesh,True,28.0994655,96.5765815,35.38966199183561,control (non-VVP),True,0.05138985578317636,0.06403529147377462,17,23
49,Khugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0970181,96.5765587,35.64039244454056,control (non-VVP),True,0.051219730666093664,0.06372808747736124,17,23
50,Swami Camp,Anjaw,Unknown,Arunachal Pradesh,True,28.0761921,96.5004673,35.71663701514807,control (non-VVP),True,0.21778574765150868,0.24049835395170666,17,23
51,Chameliang,Anjaw,Unknown,Arunachal Pradesh,True,28.081538,96.5395274,36.10070905223501,control (non-VVP),True,0.08317575325614407,0.11480662959552512,17,23
52,Nenuliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0695914,96.5025516,36.47740878026867,control (non-VVP),True,0.05984024162408061,0.07000877926170973,17,23
53,Khupa Township,Anjaw,Unknown,Arunachal Pradesh,True,28.0654038,96.4926664,36.669653927690405,control (non-VVP),True,0.22175412169864853,0.2668141101629846,17,23
54,Amliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0586788,96.4688356,36.772239821896335,control (non-VVP),True,0.0928989080998939,0.1173925597714889,17,23
55,Mompani,Anjaw,Unknown,Arunachal Pradesh,True,28.0513007,96.4415599,36.90022530314944,control (non-VVP),True,0.05893907198558199,0.09519693400590384,17,23
56,Langjon,Anjaw,Unknown,Arunachal Pradesh,True,28.053427,96.4586965,37.07185575220221,control (non-VVP),True,0.04419540177523619,0.04985595205454596,17,23
57,Thamptong 266699,Anjaw,Unknown,Arunachal Pradesh,True,28.0678982,96.519264,37.09174843787751,control (non-VVP),True,0.031285860125756085,0.031792374558220364,17,23
58,Talang,Anjaw,Unknown,Arunachal Pradesh,True,28.0840788,96.5820921,37.17372787408739,control (non-VVP),True,0.031334892191646334,0.031895883973744044,17,23
59,Mahikong,Anjaw,Unknown,Arunachal Pradesh,True,28.0544424,96.4828253,37.58834433224498,control (non-VVP),True,0.042910718842794175,0.050121826247343945,17,23
60,Tepang,Anjaw,Unknown,Arunachal Pradesh,True,27.9688421,96.7188848,37.9259149195321,control (non-VVP),True,0.05567675252863638,0.05223320651247051,38,52
61,Blom,Anjaw,Unknown,Arunachal Pradesh,True,28.0783604,96.5876028,37.96428159431192,control (non-VVP),True,0.031370114728524856,0.03157782038430626,17,23
62,布拉母哈岗,Anjaw,Unknown,Arunachal Pradesh,True,28.0669816,96.5559722,38.103619818542384,control (non-VVP),True,0.10898062198752573,0.10698831093027647,17,23
63,Kamba,Anjaw,Unknown,Arunachal Pradesh,True,28.0665856,96.5608784,38.29061279666109,control (non-VVP),True,0.07532740692618155,0.08582149358713265,17,23
64,Chillang,Anjaw,Unknown,Arunachal Pradesh,True,28.0356469,96.4227016,38.30913224271945,control (non-VVP),True,0.03430061246210675,0.03513081773376249,17,23
65,Chingraliang 266703,Anjaw,Unknown,Arunachal Pradesh,True,28.0460551,96.4835718,38.5057562974661,control (non-VVP),True,0.03161554061257077,0.03179601715232299,17,23
66,Mele 266697,Anjaw,Unknown,Arunachal Pradesh,True,28.0533163,96.5470204,39.31156367802646,control (non-VVP),True,0.031497029694581805,0.03182168970294426,17,23
67,Karangliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0328845,96.4619146,39.35483127096242,control (non-VVP),True,0.03144901938843231,0.03201484665686737,17,23
68,Naraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0272329,96.4412739,39.516581462951535,control (non-VVP),True,0.05885584274933526,0.05441947574088508,17,23
69,Takaliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0190688,96.4160791,40.05087119190448,control (non-VVP),True,0.03315154581262169,0.034319009560736205,17,23
70,Chiphugam 266713,Anjaw,Unknown,Arunachal Pradesh,True,28.0127703,96.4014324,40.608662519250345,control (non-VVP),True,0.03475702431518888,0.03571516161766584,17,23
71,Khorlang,Anjaw,Unknown,Arunachal Pradesh,True,28.0257952,96.487329,40.77244573605165,control (non-VVP),True,0.031328485571403344,0.031914533294421545,17,23
72,Tummla,Anjaw,Unknown,Arunachal Pradesh,True,28.0474659,96.582792,40.9916149981248,control (non-VVP),True,0.09238043850324609,0.11253432669127848,17,23
73,Matong,Anjaw,Unknown,Arunachal Pradesh,True,28.0593901,96.6181031,41.1988576731284,control (non-VVP),True,0.033968714580947135,0.03514146056042375,17,23
74,Paya,Anjaw,Unknown,Arunachal Pradesh,True,28.0083682,96.4228615,41.3081896196448,control (non-VVP),True,0.04358570992041606,0.04391748275068765,17,23
75,Supnung,Anjaw,Unknown,Arunachal Pradesh,True,28.0571961,96.6182474,41.42029518150113,control (non-VVP),True,0.03633095544201701,0.034344683784117654,17,23
76,Bruini,Dibang Valley,Unknown,Arunachal Pradesh,True,29.1545325,96.1488625,4.739801400488968,control (non-VVP),True,0.03221327739933445,0.04043049103553184,47,112
77,Andrala Omkar,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0623725,95.6169709,12.5097504539976,control (non-VVP),True,0.04335499669467877,0.04334283616213787,25,52
78,阿进,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0685,96.0265797,14.471694450516267,control (non-VVP),True,0.033232943117836096,0.037545942095604204,48,112
79,Mawu,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0571162,96.0144078,15.67462930303044,control (non-VVP),True,0.03324547161212538,0.03464943971394857,48,112
80,阿普衣,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0043871,95.9701987,20.09789314478475,control (non-VVP),True,0.052964088935350415,0.05546706749120385,48,112
81,Dambuen,Dibang Valley,Unknown,Arunachal Pradesh,True,28.931081,95.9752764,21.21593602485472,control (non-VVP),True,0.050602455059877885,0.06378339105811269,48,114
82,Basam,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0406371,95.8135986,21.81207441458054,control (non-VVP),True,0.04310830838848729,0.05026511516156017,25,53
83,Rilley,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8599437,95.9809166,22.764206356793835,control (non-VVP),True,0.036912087032083,0.03786257667040016,137,218
84,dian,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9488654,95.6849583,23.39036782499988,control (non-VVP),True,0.031917913730085144,0.03268344588829508,25,54
85,埃巴尼,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0173756,95.8081057,23.9627626264192,control (non-VVP),True,0.038488620723336385,0.041935821750815436,25,53
86,Atalin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8368966,95.9659782,25.176539267310137,control (non-VVP),True,0.08119584950196408,0.09996255679794322,137,218
87,Ahunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8345474,95.9597204,25.83864178208416,control (non-VVP),True,0.11097461107242287,0.14743327712277207,137,218
88,Abali,Dibang Valley,Unknown,Arunachal Pradesh,True,28.99724,95.8076255,26.034179785880767,control (non-VVP),True,0.03307459501791835,0.03811639410577807,25,53
89,Beyanli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9959135,95.8079275,26.18250955105191,control (non-VVP),True,0.03337781883248441,0.03869618364769471,25,53
90,Awalin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7056681,96.1699665,26.211338075489483,control (non-VVP),True,0.03662866417050836,0.03706428396509117,87,100
91,Singo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8257925,95.9457494,27.496207989464107,control (non-VVP),True,0.048716575867434435,0.06272445864943753,137,218
92,Mihundo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.829056,95.9393137,27.89030060387755,control (non-VVP),True,0.054039316346871515,0.06745525475510171,137,218
93,Akolin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8236778,95.9416852,27.95640540054999,control (non-VVP),True,0.06661587430564002,0.07755293343758347,137,218
94,Ayongo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8230669,95.9418373,27.97493894289717,control (non-VVP),True,0.06653266736094966,0.07664941511145316,137,218
95,Ahunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8140704,95.9419262,28.44828524069856,control (non-VVP),True,0.03561030862252603,0.03457631925430568,137,218
96,Angulin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9748478,95.8112262,28.49318519693004,control (non-VVP),True,0.036482030218013675,0.04817712558694463,25,53
97,Makuni,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8221427,95.9310087,28.9594463116276,control (non-VVP),True,0.0359479512382155,0.038460376375145856,137,218
98,Etabe,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8079186,95.9351971,29.358010050916832,control (non-VVP),True,0.04993998621925107,0.05717352500233986,137,218
99,Baro,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7934003,95.9284162,30.75864356991968,control (non-VVP),True,0.03196153331947135,0.03436098438952415,88,104
100,Apanli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6700204,96.1056557,31.29422934107572,control (non-VVP),True,0.035752627366333105,0.05070356959803396,86,105
101,Larango,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7880718,95.918821,31.86607740091618,control (non-VVP),True,0.033949991049732425,0.03709990767874501,49,52
102,Amuli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7875753,95.9141519,32.28166853802251,control (non-VVP),True,0.03892457497402195,0.04214168239516851,49,52
103,Brango,Dibang Valley,Unknown,Arunachal Pradesh,True,28.9405604,95.8173923,32.29183869008044,control (non-VVP),True,0.05650003352722883,0.05001662915445791,25,54
104,Akunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8111887,95.8962517,32.5355921450053,control (non-VVP),True,0.06642446700540867,0.10616578101951148,74,106
105,Karu,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8049354,95.8992688,32.587821958149284,control (non-VVP),True,0.07540489296721796,0.1315445309295102,49,52
106,Tanga II,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8136293,95.893295,32.67631994699575,control (non-VVP),True,0.05886425595061011,0.087744187974318,74,106
107,Akhunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6685127,96.059513,32.993165287526374,control (non-VVP),True,0.03518003343577335,0.03858242347034177,86,105
108,Maro,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8314281,95.8735957,33.65500502664909,control (non-VVP),True,0.033160767743137406,0.03659120218286956,74,106
109,Tapo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8150846,95.8784431,33.92158477451002,control (non-VVP),True,0.034537127481257715,0.03674321919838375,74,106
110,Amboli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7782095,95.9006268,33.951810510469485,control (non-VVP),True,0.03981939193547057,0.04149344808151715,49,52
111,Charkilo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8156575,95.8773093,33.996313730005284,control (non-VVP),True,0.03444553607187258,0.03649571314771427,74,106
112,Maroli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8551403,95.8604802,34.02008814842359,control (non-VVP),True,0.04615329336516423,0.05023554855152237,74,106
113,Angulin,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7972034,95.8857247,34.1570920023645,control (non-VVP),True,0.09949966210448513,0.10984994017945003,49,52
114,Athunli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6575175,96.0218393,35.703524383599735,control (non-VVP),True,0.04952254951961617,0.08385772277373385,86,105
115,Anose,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6322763,96.0147489,35.94683270524162,control (non-VVP),True,0.032490912852451204,0.032912623065646,86,105
116,恰帕,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6587596,96.0107761,36.10892685686056,control (non-VVP),True,0.033857828918891004,0.04408197169245228,86,105
117,Ilupu,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7766747,95.8707591,36.53752328568139,control (non-VVP),True,0.0658408599043194,0.056100461038843565,49,52
118,Alombro,Dibang Valley,Unknown,Arunachal Pradesh,True,28.8912928,95.8139536,37.44827678081757,control (non-VVP),True,0.03324887040205406,0.03770985940403701,74,106
119,岷东,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7733786,95.8573956,37.85177130688197,control (non-VVP),True,0.0330495708087064,0.03397417710469515,49,52
120,昂里,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6444365,95.9929441,38.360632618269065,control (non-VVP),True,0.03759162294231301,0.04064372926735487,86,105
121,Aruko,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6365123,96.0073067,38.42709422070483,control (non-VVP),True,0.03332482551858771,0.03446254340859021,86,105
122,阿米里,Dibang Valley,Unknown,Arunachal Pradesh,True,28.3999197,95.9040857,39.043917134710846,control (non-VVP),True,0.10125507047224507,0.08653010479762833,49,51
123,Ashambra,Dibang Valley,Unknown,Arunachal Pradesh,True,28.4083935,95.8960457,39.78552162439113,control (non-VVP),True,0.04992253014616557,0.06542072027592745,49,51
124,Immli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7250516,95.8683257,39.89816301809222,control (non-VVP),True,0.039981461656072186,0.0404216759107028,49,53
125,Koronli,Dibang Valley,Unknown,Arunachal Pradesh,True,28.4146922,95.8929454,40.07023852433401,control (non-VVP),True,0.06760138137235228,0.08127387165508973,49,51
126,柯委,Dibang Valley,Unknown,Arunachal Pradesh,True,28.7183921,95.8681743,40.35795197178727,control (non-VVP),True,0.042625543034468145,0.042235282489700085,49,53
127,鲁波,Dibang Valley,Unknown,Arunachal Pradesh,True,28.4499048,95.8843525,41.02762145083768,control (non-VVP),True,0.03819345859288691,0.03598914320371623,48,51
128,Ichigo,Dibang Valley,Unknown,Arunachal Pradesh,True,28.5155155,95.8937841,41.32167078574314,control (non-VVP),True,0.03372145450610164,0.034878560835150736,48,52
129,Arope,Dibang Valley,Unknown,Arunachal Pradesh,True,28.6313227,95.9389968,42.48747530154613,control (non-VVP),True,0.04136802174587754,0.04207020882925478,86,105
130,Waing,East Kameng,Unknown,Arunachal Pradesh,True,27.7737215,92.9303658,28.808420130737865,control (non-VVP),True,0.03213310987196331,0.03222079530254639,46,51
131,Saria Takhong,East Kameng,Unknown,Arunachal Pradesh,True,27.7461293,92.9324466,30.596867243551923,control (non-VVP),True,0.03211479402030812,0.044887407657047775,46,52
132,Takung Sullung,East Kameng,Unknown,Arunachal Pradesh,True,27.737803,92.9545701,32.951598760424496,control (non-VVP),True,0.03185635863485125,0.03231713529195778,46,52
133,Weigung Sullung,East Kameng,Unknown,Arunachal Pradesh,True,27.7282868,92.9780365,35.489345723754084,control (non-VVP),True,0.033943874106794725,0.03844443530497198,46,52
134,Mechar,East Kameng,Unknown,Arunachal Pradesh,True,27.7792152,93.0216134,36.19220014344069,control (non-VVP),True,0.041164172665347186,0.044854117905519554,101,98
135,Mechi,East Kameng,Unknown,Arunachal Pradesh,True,27.7740086,93.0208212,36.435710208882135,control (non-VVP),True,0.047262946945694675,0.05996839693976327,101,98
136,Yakli,East Kameng,Unknown,Arunachal Pradesh,True,27.7643991,93.0211222,37.03298419591293,control (non-VVP),True,0.0453175837464684,0.07117748365345272,101,98
137,Venia,East Kameng,Unknown,Arunachal Pradesh,True,27.7340861,93.0020799,37.180052358596086,control (non-VVP),True,0.04677982787603084,0.06860756505655845,101,99
138,Veo,East Kameng,Unknown,Arunachal Pradesh,True,27.7219814,93.017386,39.18026752602492,control (non-VVP),True,0.033345364284882044,0.033925539424292,101,100
139,Kapa,East Kameng,Unknown,Arunachal Pradesh,True,27.6655139,92.9735655,39.40773498381321,control (non-VVP),True,0.03769974016182999,0.0490156393344534,46,53
140,Chaling,East Kameng,Unknown,Arunachal Pradesh,True,27.66365,92.9723051,39.46081918358346,control (non-VVP),True,0.039734616517156644,0.05406346115378399,46,53
141,Lamniya,East Kameng,Unknown,Arunachal Pradesh,True,27.7095829,93.0130663,39.54090859836912,control (non-VVP),True,0.040527871244027014,0.03677435685107502,101,100
142,Parte,East Kameng,Unknown,Arunachal Pradesh,True,27.689839,93.0024418,39.80447048442179,control (non-VVP),True,0.03369267761481584,0.04484842405287153,101,101
143,Tabey,East Kameng,Unknown,Arunachal Pradesh,True,27.6122188,92.9122259,39.99774466973592,control (non-VVP),True,0.036541320898095135,0.04730840342330198,46,53
144,Yacho,East Kameng,Unknown,Arunachal Pradesh,True,27.6396662,92.9601837,40.53666042307762,control (non-VVP),True,0.03339063103113276,0.034453259633201436,46,53
145,Wagyang,East Kameng,Unknown,Arunachal Pradesh,True,27.6713461,93.0008935,40.980446902147314,control (non-VVP),True,0.03187049112344413,0.03181863537778841,101,102
146,Nampe,East Kameng,Unknown,Arunachal Pradesh,True,27.6900524,93.018259,41.12206662038251,control (non-VVP),True,0.03413396242126605,0.04329609377167877,101,101
147,Jomoh,East Kameng,Unknown,Arunachal Pradesh,True,27.6573981,92.9985809,41.82844426537984,control (non-VVP),True,0.059774236305413654,0.07958555606823199,101,102
148,Hanche,East Kameng,Unknown,Arunachal Pradesh,True,27.7421636,93.0637776,41.93292929038523,control (non-VVP),True,0.03169917878146833,0.033166770728430855,101,99
149,Byale,East Kameng,Unknown,Arunachal Pradesh,True,27.7356495,93.0675738,42.63914939786015,control (non-VVP),True,0.0315601147211606,0.04032792727563826,101,99
150,Waii,East Kameng,Unknown,Arunachal Pradesh,True,27.5965694,92.9464187,43.36805820629529,control (non-VVP),True,0.05529699300782993,0.058903990272809854,46,53
151,Namta Yangfo,East Kameng,Unknown,Arunachal Pradesh,True,27.7018661,93.0532147,43.38193597017538,control (non-VVP),True,0.03244335441312922,0.03418040829690961,101,101
152,Lapung,East Kameng,Unknown,Arunachal Pradesh,True,27.5627371,92.8898001,43.56340878215714,control (non-VVP),True,0.03532121745184763,0.04124244611110478,46,53
153,Bodo,East Kameng,Unknown,Arunachal Pradesh,True,27.680324,93.0406964,43.58582808883735,control (non-VVP),True,0.03705538229832495,0.038380578199892185,101,101
154,Jokhio,East Kameng,Unknown,Arunachal Pradesh,True,27.6531478,93.0282798,44.345881287237766,control (non-VVP),True,0.04778815470834775,0.05616145819660964,101,102
155,Sawa,East Kameng,Unknown,Arunachal Pradesh,True,27.6833826,93.0522114,44.37900635323837,control (non-VVP),True,0.0893769037343951,0.13872521935937618,101,101
156,Tungi,East Kameng,Unknown,Arunachal Pradesh,True,27.674452,93.0461713,44.39177806986576,control (non-VVP),True,0.0474730831269898,0.03583149583502942,101,101
157,Bengde,East Kameng,Unknown,Arunachal Pradesh,True,27.6619285,93.0379357,44.46874619346225,control (non-VVP),True,0.03904242999446778,0.038921242060064754,101,102
158,Pangia,East Kameng,Unknown,Arunachal Pradesh,True,27.633391,93.0158758,44.88700945558452,control (non-VVP),True,0.03902615374879835,0.04734348257158896,101,102
159,Kapak Leyak Docha,East Kameng,Unknown,Arunachal Pradesh,True,27.5303152,92.8464486,45.07935601529687,control (non-VVP),True,0.05075929597567089,0.07273380853540652,46,53
160,Jattom Sollung,East Kameng,Unknown,Arunachal Pradesh,True,27.7610472,93.1233315,45.52894522093924,control (non-VVP),True,0.033495107089825345,0.03747725381765829,55,47
