village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
1,Upper Traflagam 266829,Anjaw,Unknown,Arunachal Pradesh,True,28.3500638,96.6336613,10.208156031306832,control (non-VVP),True,-0.30287704703838036,-0.18011804604752177,24,29,0.3517960872397076,0.087044693779346,4,4
2,Tarampa,Anjaw,Unknown,Arunachal Pradesh,True,28.3416126,96.6186283,11.259931743843367,control (non-VVP),True,-0.2564959606908624,-0.19248768475478512,24,29,0.40611856789130235,0.08135906117707825,4,4
3,Matkrong,Anjaw,Unknown,Arunachal Pradesh,True,27.8559038,96.9824133,12.21174958433055,control (non-VVP),True,-0.266430958937965,-0.2914269050032022,48,57,0.3770130315831402,0.22153454141465617,4,4
4,Abochagan,Anjaw,Unknown,Arunachal Pradesh,True,28.3136489,96.6140466,14.385494242096671,control (non-VVP),True,-0.22788019657266623,-0.17497911278247,24,29,0.37706714656853124,0.11229189691215456,4,4
5,Khalega,Anjaw,Unknown,Arunachal Pradesh,True,28.2806477,96.5718641,17.389387120162088,control (non-VVP),True,-0.22903541712929773,-0.21145202570338384,24,29,0.28808223128845095,0.21224613574890636,4,4
6,Shirong,Anjaw,Unknown,Arunachal Pradesh,True,27.903587,96.9409105,18.879751233480885,control (non-VVP),True,-0.243076586866017,-0.2590514361171298,24,29,0.2302502840086902,0.11349550538242734,4,4
7,Khampti Pani,Anjaw,Unknown,Arunachal Pradesh,True,27.9282865,96.9573301,20.07481274759241,control (non-VVP),True,-0.20892118539813043,-0.23187718076454938,48,58,0.275880205718417,0.18946006873997578,4,4
8,Xiao Madengliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2208547,96.5152684,20.66721205919266,control (non-VVP),True,-0.21899848153150914,-0.23727550888924195,24,29,0.3077277777333094,0.0900253092260409,4,4
9,Tilam,Anjaw,Unknown,Arunachal Pradesh,True,28.1432798,97.0060273,21.122207787766506,control (non-VVP),True,-0.2607779702404492,-0.287642138063411,48,58,0.3143331490656627,0.20437500301548941,4,4
10,Minjong,Anjaw,Unknown,Arunachal Pradesh,True,27.9447015,96.9531849,21.775446122663485,control (non-VVP),True,-0.2326796098583286,-0.27208195408835906,48,58,0.14754764389062947,0.12811659133654807,4,4
11,Jiliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2187403,96.536865,21.785872271677064,control (non-VVP),True,-0.2065959508725616,-0.27173376756547957,24,29,0.37602891261638605,0.20880978793999772,4,4
12,Walang,Anjaw,Unknown,Arunachal Pradesh,True,27.882509,96.8550641,21.853357578949343,control (non-VVP),True,-0.26892683268687584,-0.26370808140691143,24,29,0.39546995367171095,0.3180533906442835,4,4
13,Tinai,Anjaw,Unknown,Arunachal Pradesh,True,28.1383669,97.0271327,22.12939324344721,control (non-VVP),True,-0.1523979924804315,-0.15301287404109667,48,58,0.31427247196101066,0.3648314646120822,4,4
14,Kalin,Anjaw,Unknown,Arunachal Pradesh,True,27.9654847,96.9709934,22.15837709115443,control (non-VVP),True,-0.2086709215674636,-0.2125681154417983,96,115,0.2893624125044351,0.1670441847352907,4,4
15,Halla,Anjaw,Unknown,Arunachal Pradesh,True,27.9655372,96.962708,22.66191626116016,control (non-VVP),True,-0.19587291170770596,-0.22287113771640893,96,115,0.23897157069565597,0.10449554079285966,4,4
16,Yashong Camp,Anjaw,Unknown,Arunachal Pradesh,True,27.9752592,96.9686698,23.166499666887443,control (non-VVP),True,-0.22352401730031587,-0.240696463518372,96,115,0.20031596631009935,0.09330654175675364,4,4
17,Kaladun,Anjaw,Unknown,Arunachal Pradesh,True,27.9839219,96.9737606,23.672719201131454,control (non-VVP),True,-0.21331691147377185,-0.2303541134799051,96,115,0.12346392531439307,0.09958568037295422,4,4
18,Menilkrai,Anjaw,Unknown,Arunachal Pradesh,True,28.1024223,97.0047561,25.56053181319565,control (non-VVP),True,-0.09963012765112049,-0.1273940199477299,48,58,0.33117680755015966,0.20546452719550415,4,4
19,Sarti,Anjaw,Unknown,Arunachal Pradesh,True,28.0081411,96.9619129,26.55964309895621,control (non-VVP),True,-0.21768686665147186,-0.23850030254666763,96,115,0.23286632584695446,0.2206711362238965,4,4
20,Tarafliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1541848,96.5174198,27.7622677852453,control (non-VVP),True,-0.21371554270844878,-0.23000509055029655,24,29,0.35940701340248427,0.09656458773664747,4,4
21,Chinagam,Anjaw,Unknown,Arunachal Pradesh,True,28.1625933,96.5530756,28.042568905542584,control (non-VVP),True,-0.1978135888368768,-0.26689322769716317,24,29,0.25468611046671863,0.18007499986224704,4,4
