village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2019,lights_2019,ndbi_2019_image_count,lights_2019_image_count
43,Punli,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6565904,95.8520788,-0.2445879064297353,0.2578612569490625,144.0,12.0
44,Lengdi/Liang,East Kameng,Bameng,Arunachal Pradesh,True,27.5376292,92.923885,-0.2277718359051654,0.2432505621261575,146.0,12.0
45,Upper Liyak,East Kameng,Bameng,Arunachal Pradesh,True,27.5337804,92.8465101,-0.2323739736942544,0.2469789269286514,146.0,12.0
46,Dao,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7832832,92.9383609,-0.2930922854065451,0.2461302230810616,145.0,12.0
47,Dara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.732817,93.0487159,-0.2587068726582371,0.2380276791493895,290.0,12.0
48,Lamrah,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6967225,93.0373888,-0.2900817194108105,0.222980558971564,290.0,12.0
49,Loto Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7296573,93.059293,-0.2521862390087008,0.2183258420295929,290.0,12.0
50,Diya Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7760452,93.0124888,-0.2870152373392099,0.2228428048300769,290.0,12.0
51,Hara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.751648,93.1327809,-0.2666927062979696,0.2332728782868278,145.0,12.0
52,Jayang Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7547367,93.1791026,-0.234703335015805,0.2396731814359153,145.0,12.0
53,Kesse Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7809294,93.2034502,-0.2293936719910095,0.209201851454046,147.0,12.0
54,Langchu Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7569534,92.9355132,-0.2867686974312561,0.2065460288975977,145.0,12.0
55,Nampe Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7140627,93.0313033,-0.2899773863335592,0.2215293234334491,290.0,12.0
56,Raro Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6890058,93.0717372,-0.3129373202446645,0.1985885274569547,290.0,12.0
57,Tamsang Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6760974,93.0917894,-0.2206428012412027,0.2183723950126607,290.0,12.0
58,Warriam Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7279436,92.9802579,-0.2751864859661826,0.2336271211252374,145.0,12.0
59,Wallong,East Kameng,Khenewa,Arunachal Pradesh,True,27.6530641,92.9685879,-0.2737693825487757,0.2038075356414429,145.0,12.0
60,Chate,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1191826,93.3236259,-0.3188556126712571,0.2275523770470945,145.0,12.0
61,Chulla,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1242982,93.411274,-0.3128457201374781,0.255530815315354,145.0,12.0
62,Damin H.Q.,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1041982,93.3343841,-0.2528072833205347,0.2242660758520581,145.0,12.0
63,Damin Village,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1050092,93.3443566,-0.3118538992323417,0.193762936144076,145.0,12.0
64,Digok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1272533,93.3496878,-0.3203483335485862,0.2063329643647583,145.0,12.0
65,Fuba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1198537,93.3376816,-0.334679275353896,0.2445553067253042,145.0,12.0
66,Huri,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1095105,93.3045975,-0.2889376739538709,0.2634285977658103,145.0,12.0
67,Katuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1189094,93.2501395,-0.2750249028911657,0.2578042079323689,145.0,12.0
68,Kopila,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1092251,93.3088818,-0.2752457660782831,0.2583826797468037,145.0,12.0
69,Machang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0962492,93.3005705,-0.29570741936265,0.2556855605474091,145.0,12.0
70,Nisuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1081822,93.414929,-0.3321469547520576,0.2079402513297628,145.0,12.0
71,Pipa,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0735847,93.283149,-0.2712240900068061,0.2455691037051164,145.0,12.0
72,Ramu,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1084035,93.4191096,-0.3285102190349257,0.2031973746587645,145.0,12.0
73,Rane,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1440384,93.3476122,-0.3019417995601735,0.2365411110721262,145.0,12.0
74,Rawiok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.137739,93.3249207,-0.302388222804324,0.2500760177536322,145.0,12.0
75,Ruba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1221707,93.2334312,-0.3041601597052443,0.2495118775187197,145.0,12.0
76,Senamriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1320477,93.3191302,-0.2746197673333128,0.2521527013798666,145.0,12.0
77,Sibia,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1070207,93.3012679,-0.2926461610884918,0.2513839426109602,145.0,12.0
78,Tarba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1607522,93.4195471,-0.3181527104895414,0.2602484028270999,145.0,12.0
79,Tokriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1110736,93.3311986,-0.3104357098122403,0.2111200228729079,145.0,12.0
80,Yaso,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1002726,93.3473375,-0.3041515208791623,0.1733129438389926,145.0,12.0
81,Buhan,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8895447,93.283152,-0.31607049287238,0.2256824159984245,150.0,12.0
82,Buyang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,-0.2903587033677008,0.2460527773863739,297.0,12.0
83,Buyang-II,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,-0.2903587033677008,0.2460527773863739,297.0,12.0
84,Chello,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8849215,93.291646,-0.2460612885064253,0.2301442832680839,150.0,12.0
85,Chimpu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9522411,93.2566277,-0.2939651318109124,0.2252537794287418,296.0,12.0
86,Chomi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.955673,93.2595487,-0.3013102200034129,0.1803903034934722,295.0,12.0
87,Chote,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9524396,93.2616596,-0.2901711574203622,0.2004999993222482,295.0,12.0
88,Kiodhriang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8581693,93.2541827,-0.2610301836129697,0.200747546179397,150.0,12.0
89,Nangram,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9071735,93.4387839,-0.258246776277605,0.2309764009986566,72.0,12.0
90,Nyolo,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9012651,93.3076219,-0.295866352923568,0.2064817938351445,150.0,12.0
91,Pakba,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8903622,93.3997806,-0.3249224419008562,0.2274953769592281,117.0,12.0
92,Papu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9111524,93.3917445,-0.2783024074254275,0.2414379605154196,150.0,12.0
93,Rengchi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8914093,93.4267781,-0.256673025914875,0.2107664448361731,72.0,12.0
94,Tate,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9539309,93.2699171,-0.3244052497812074,0.1965659643356128,295.0,12.0
95,Yumlam,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8897958,93.4560068,-0.2457851272890126,0.2539916677110725,72.0,12.0
96,Cheba,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0204954,93.4801015,-0.2290208971783885,0.1679119919781727,144.0,12.0
97,Dape,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0305059,93.4762607,-0.2599036025048843,0.1663675694547711,72.0,12.0
98,Dare,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.040746,93.4566336,-0.2213682978391822,0.179867930128239,75.0,12.0
99,Geyang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.032302,93.4718342,-0.234055535931111,0.1683100321448889,72.0,12.0
100,Gonang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9884834,93.5169908,-0.1943081494519439,0.1860299602988061,144.0,12.0
101,Nyokuriang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0062351,93.5622034,-0.2338264465331698,0.1229657394521766,144.0,12.0
102,Pachang,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0250521,93.4720132,-0.2132145659480477,0.1500852777145065,144.0,12.0
103,Pado I,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,27.9756026,93.5757879,-0.2361219574111121,0.1637970219943776,144.0,12.0
104,Pagam,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.049312,93.4584998,-0.2625869117459543,0.2173646425838628,77.0,12.0
