village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count,ndbi_change,lights_change
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,-0.2139028033382926,-0.2530490160511819,24,29,0.3386945694090257,0.2662028824278626,4,4,-0.03914621271288932,-0.0724916869811631
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,-0.2264847171958869,-0.1989792965734346,24,29,0.2817972230745686,0.0897611104945341,4,4,0.027505420622452287,-0.1920361125800345
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,-0.2528194224685219,-0.2657355763772654,24,29,0.256412805919484,0.146029252057307,4,4,-0.01291615390874351,-0.11038355386217702
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,-0.2457797923896411,-0.2750297282325391,24,29,0.3047197234603855,0.194644055976595,4,4,-0.02924993584289798,-0.1100756674837905
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,-0.276436327358106,-0.2680745078974558,24,29,0.2952927884620588,0.2101238782072926,4,4,0.008361819460650233,-0.0851689102547662
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,-0.0620204106506969,-0.0763418256812013,24,29,0.4249280884664143,0.5441675815500517,4,4,-0.014321415030504409,0.11923949308363746
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,-0.2057175673852735,-0.2525151770868171,24,29,0.3101637135202956,0.1641398451469846,4,4,-0.04679760970154359,-0.146023868373311
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,-0.2489019399559069,-0.2663573326577088,24,29,0.3673396015094708,0.2729009938121369,4,4,-0.01745539270180188,-0.09443860769733392
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,-0.2256927385228842,-0.2567003443160368,24,29,0.3591123665986436,0.2244016804219631,4,4,-0.031007605793152565,-0.1347106861766805
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,-0.2753600961835515,-0.2554341358901372,24,29,0.4024028742849231,0.346487244973569,4,4,0.019925960293414313,-0.05591562931135413
