village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2021,ndbi_n_2021,lights_2021,lights_n_2021,ndbi_2023,ndbi_n_2023,lights_2023,lights_n_2023,ndbi_2025,ndbi_n_2025,lights_2025,lights_n_2025
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,-0.21928174768683786,73,0.3170851837769316,12,-0.2730086211194792,73,0.3766297113208179,12,-0.2599133636057251,86,0.39869825442852314,12
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,-0.24194894265441122,73,0.28432499690188306,12,-0.2871417528826063,73,0.29950926492611574,12,-0.21765195415160044,86,0.2225777780181832,12
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,-0.2568004556053539,73,0.26187822290143165,12,-0.30695855767093144,73,0.2683425314773787,12,-0.30638793106194795,86,0.2121661157731715,12
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,-0.2591438869121826,73,0.2794422734478664,12,-0.29523364824259235,73,0.2371907725997035,12,-0.28882097441696786,86,0.2566918938717232,12
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,-0.2436199370750453,73,0.2745833312001851,12,-0.2744138768241188,73,0.266692942092279,12,-0.2745202431246333,86,0.27167886324428214,12
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,-0.03792873549123782,73,0.6249926276834665,12,-0.1304159656318037,73,0.6539988833916399,12,-0.09929262477463244,86,0.9576133833126685,12
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,-0.2675843627491132,73,0.25335645682274566,12,-0.297639065494361,73,0.26619033712261125,12,-0.2646981649887231,86,0.23337587707579865,12
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,-0.28036440177260424,73,0.35311485995101716,12,-0.31491063101304906,73,0.3588753692739833,12,-0.307349872610687,86,0.35449852896607026,12
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,-0.23685661122217883,73,0.27998876163129055,12,-0.2811589740201522,73,0.26689980421843157,12,-0.254116790358121,86,0.262162920966577,12
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,-0.21749475545942476,73,0.32804106686938217,12,-0.2598516343158006,73,0.35715408383410724,12,-0.2415572572240856,86,0.3123964142719992,12
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266,-0.2586935255251883,146,0.20292313661252845,12,-0.31296955885011524,146,0.33347468312722356,12,-0.2915504854138674,172,0.27370842547876606,12
12,Dong,Anjaw,Walong,Arunachal Pradesh,True,28.1679203,97.0389469,-0.06425120037767894,146,0.3086071012419681,12,-0.1359090579159672,146,0.3863429524062344,12,-0.10849628696564832,172,0.40467813683799847,12
