system:index,after_image_count,before_image_count,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo
00000000000000000018,2,0,Walong,Anjaw,true,0.23612679136815928,0.27995570568349276,-0.0989505456011564,,Arunachal Pradesh,Yakung,25,"{""type"":""Point"",""coordinates"":[97.02634678731006,28.19975192198549]}"
00000000000000000019,21,7,Anini-Mipi,Dibang Valley,true,0.31703859239283283,0.38717002483288976,-0.24811549065286925,-0.25498281820094043,Arunachal Pradesh,Achali,26,"{""type"":""Point"",""coordinates"":[95.97047624886461,28.842946035237684]}"
0000000000000000001a,21,7,Anini-Mipi,Dibang Valley,true,0.2436506136634449,0.3700559866455074,-0.17516169359770173,-0.14391691612357363,Arunachal Pradesh,Achengo,27,"{""type"":""Point"",""coordinates"":[95.94283874053535,28.823852164526826]}"
0000000000000000001b,12,3,Anini-Mipi,Dibang Valley,true,0.05124451793534191,0.33743694414825814,-0.2554545909595757,-0.21608926755704,Arunachal Pradesh,Acheso,28,"{""type"":""Point"",""coordinates"":[95.9744805216106,28.926375815947658]}"
0000000000000000001c,21,7,Anini-Mipi,Dibang Valley,true,0.2530849874841983,0.45268764200457945,-0.19323540652466611,-0.1504155936568593,Arunachal Pradesh,Alinye,29,"{""type"":""Point"",""coordinates"":[95.96289577707375,28.83468332098565]}"
0000000000000000001d,21,7,Anini-Mipi,Dibang Valley,true,0.11745054950262164,0.3931785657838151,-0.258292593732846,-0.24976835275122586,Arunachal Pradesh,Angrim Valley,30,"{""type"":""Point"",""coordinates"":[95.97862302648926,28.88428190200313]}"
0000000000000000001e,21,7,Anini-Mipi,Dibang Valley,true,0.24949394938575947,0.3317574196883423,-0.20358711199026797,-0.1583117278550857,Arunachal Pradesh,Aropo,31,"{""type"":""Point"",""coordinates"":[95.93970845159583,28.82308965824669]}"
0000000000000000001f,21,7,Anini-Mipi,Dibang Valley,true,0.2576059001013056,0.4332887444275545,-0.2055407575343396,-0.16379589939844943,Arunachal Pradesh,Atoto,32,"{""type"":""Point"",""coordinates"":[95.96474184490988,28.83558405939845]}"
00000000000000000020,12,3,Anini-Mipi,Dibang Valley,true,0.008375411679401878,0.3341355593353673,-0.26611623596962897,-0.2093608715160162,Arunachal Pradesh,Echito,33,"{""type"":""Point"",""coordinates"":[95.97527870069916,28.929158295005006]}"
00000000000000000021,7,2,Anini-Mipi,Dibang Valley,true,0.27783865434023247,0.3849752221404193,-0.18564470149237566,-0.1965374283409839,Arunachal Pradesh,Ediya,34,"{""type"":""Point"",""coordinates"":[95.80765217389803,28.963818887493442]}"
00000000000000000022,12,4,Anini-Mipi,Dibang Valley,true,0.16706773287530516,0.36457599000389884,-0.25534135176431005,-0.24612397054360913,Arunachal Pradesh,Emuli,35,"{""type"":""Point"",""coordinates"":[95.83565532851367,28.887117890273117]}"
00000000000000000023,21,7,Anini-Mipi,Dibang Valley,true,0.27317296770775285,0.4016462813097325,-0.22173024994902255,-0.21081774772641604,Arunachal Pradesh,Gipulin,36,"{""type"":""Point"",""coordinates"":[95.96662358555443,28.847922392013327]}"
00000000000000000024,7,2,Anini-Mipi,Dibang Valley,true,0.13044101256947008,0.36975743607623046,-0.28326954316489306,-0.26844375493688505,Arunachal Pradesh,Kamuyi,37,"{""type"":""Point"",""coordinates"":[95.80504805888282,28.992691566814507]}"
00000000000000000025,7,2,Anini-Mipi,Dibang Valley,true,0.29485244698872276,0.38160356530766176,-0.18318614494589797,-0.18952495013099901,Arunachal Pradesh,Mipi H.Q.,38,"{""type"":""Point"",""coordinates"":[95.80812929771075,28.96416669737561]}"
00000000000000000026,7,2,Anini-Mipi,Dibang Valley,true,0.13102359652241158,0.419239848983013,-0.21868003170995728,-0.2110340563733787,Arunachal Pradesh,Mipido,39,"{""type"":""Point"",""coordinates"":[95.81443446660032,28.950423747928895]}"
00000000000000000027,5,2,Etalin-Malinye,Dibang Valley,true,0.315195756503933,0.3311772924541627,-0.2118439529418924,-0.2246258848393188,Arunachal Pradesh,Etalin Bridge Point,40,"{""type"":""Point"",""coordinates"":[95.8703649711137,28.609405076664512]}"
00000000000000000028,4,0,Etalin-Malinye,Dibang Valley,true,0.12890781843462468,0.3939748580562335,-0.23604992170471828,,Arunachal Pradesh,Maliney,41,"{""type"":""Point"",""coordinates"":[96.15322358733798,28.675020748665965]}"
00000000000000000029,9,4,Etalin-Malinye,Dibang Valley,true,0.16512262789634288,0.37482441003240197,-0.18565641908440417,-0.2734839004802196,Arunachal Pradesh,Mawali,42,"{""type"":""Point"",""coordinates"":[96.01702034566048,28.659971282610588]}"
0000000000000000002a,5,2,Etalin-Malinye,Dibang Valley,true,0.21763407701220588,0.39227094743504876,-0.29071620361292744,-0.2529150177569761,Arunachal Pradesh,Punli,43,"{""type"":""Point"",""coordinates"":[95.85207819769352,28.656591284012077]}"
