system:index,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo
0000000000000000001b,Anini-Mipi,Dibang Valley,True,0.2381240852307854,0.2927457906567213,-0.0863898376366438,-0.0394871614695594,Arunachal Pradesh,Acheso,28,"{""type"":""Point"",""coordinates"":[95.9744805216106,28.926375815947658]}"
0000000000000000001c,Anini-Mipi,Dibang Valley,True,0.3518037108034225,0.3429258617739015,-0.0587149713762547,-0.0255506547539508,Arunachal Pradesh,Alinye,29,"{""type"":""Point"",""coordinates"":[95.96289577707375,28.83468332098565]}"
0000000000000000001d,Anini-Mipi,Dibang Valley,True,0.2416437680577184,0.3289624564595275,-0.0945192459035738,-0.0721780235816802,Arunachal Pradesh,Angrim Valley,30,"{""type"":""Point"",""coordinates"":[95.97862302648926,28.88428190200313]}"
0000000000000000001e,Anini-Mipi,Dibang Valley,True,0.2771213734963021,0.3020067862158168,-0.0697175881609511,-0.0322607952431937,Arunachal Pradesh,Aropo,31,"{""type"":""Point"",""coordinates"":[95.93970845159583,28.82308965824669]}"
0000000000000000001f,Anini-Mipi,Dibang Valley,True,0.3519026340383084,0.3378056473822365,-0.0658462493645321,-0.0248276649800442,Arunachal Pradesh,Atoto,32,"{""type"":""Point"",""coordinates"":[95.96474184490988,28.83558405939845]}"
00000000000000000020,Anini-Mipi,Dibang Valley,True,0.2397081958115689,0.2791986801098259,-0.0675926318182873,-0.0187728722744951,Arunachal Pradesh,Echito,33,"{""type"":""Point"",""coordinates"":[95.97527870069916,28.929158295005006]}"
00000000000000000021,Anini-Mipi,Dibang Valley,True,0.2801615282532139,0.3124724670850757,-0.0794964362344553,-0.0906093259063893,Arunachal Pradesh,Ediya,34,"{""type"":""Point"",""coordinates"":[95.80765217389803,28.963818887493442]}"
00000000000000000022,Anini-Mipi,Dibang Valley,True,0.2078175462848026,0.3062628456083688,-0.1561111707769485,-0.1403388533946266,Arunachal Pradesh,Emuli,35,"{""type"":""Point"",""coordinates"":[95.83565532851367,28.887117890273117]}"
00000000000000000023,Anini-Mipi,Dibang Valley,True,0.3202159871845542,0.3267843884740178,-0.1011070060561954,-0.0751775958284372,Arunachal Pradesh,Gipulin,36,"{""type"":""Point"",""coordinates"":[95.96662358555443,28.847922392013327]}"
00000000000000000024,Anini-Mipi,Dibang Valley,True,0.1859399115763268,0.2788846116870346,-0.192409336933448,-0.1821117468368002,Arunachal Pradesh,Kamuyi,37,"{""type"":""Point"",""coordinates"":[95.80504805888282,28.992691566814507]}"
00000000000000000025,Anini-Mipi,Dibang Valley,True,0.2857015601344788,0.3101698224887019,-0.0762737371668523,-0.0866512397941604,Arunachal Pradesh,Mipi H.Q.,38,"{""type"":""Point"",""coordinates"":[95.80812929771075,28.96416669737561]}"
00000000000000000026,Anini-Mipi,Dibang Valley,True,0.2562586838046229,0.3085821423716393,-0.1402515183628613,-0.1040630508312082,Arunachal Pradesh,Mipido,39,"{""type"":""Point"",""coordinates"":[95.81443446660032,28.950423747928895]}"
00000000000000000027,Etalin-Malinye,Dibang Valley,True,0.2838329589473587,0.321628445080196,-0.2795306086735892,-0.2320525895030616,Arunachal Pradesh,Etalin Bridge Point,40,"{""type"":""Point"",""coordinates"":[95.8703649711137,28.609405076664512]}"
00000000000000000028,Etalin-Malinye,Dibang Valley,True,0.2216564232244171,0.6398566117499793,-0.1018903255575,-0.0557623781250994,Arunachal Pradesh,Maliney,41,"{""type"":""Point"",""coordinates"":[96.15322358733798,28.675020748665965]}"
