village_id,village,district,block,state,is_core_sample,latitude,longitude,built_before,built_after,built_before_image_count,built_after_image_count
47,Dara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.732817,93.0487159,0.03443635302866903,0.04029023212115246,101,99
48,Lamrah,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6967225,93.0373888,0.035067717505062254,0.04113559273314428,101,101
49,Loto Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7296573,93.059293,0.03843995095469815,0.044925968125092516,101,99
50,Diya Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7760452,93.0124888,0.033881502197958685,0.034658568903543456,101,98
51,Hara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.751648,93.1327809,0.03436629407037297,0.04238470125616966,55,47
52,Jayang Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7547367,93.1791026,0.052501478148468075,0.055447390074809644,55,47
53,Kesse Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7809294,93.2034502,0.05118743190834073,0.06094006208358266,55,47
54,Langchu Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7569534,92.9355132,0.032792202142938896,0.03340097242568306,46,51
55,Nampe Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7140627,93.0313033,0.032320104129064275,0.0326461902664741,101,100
56,Raro Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6890058,93.0717372,0.033378527204086815,0.03422182555211658,101,101
57,Tamsang Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6760974,93.0917894,0.04322997814583103,0.044426534828441985,101,101
58,Warriam Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7279436,92.9802579,0.03366245834553018,0.03938817013649307,46,52
59,Wallong,East Kameng,Khenewa,Arunachal Pradesh,True,27.6530641,92.9685879,0.032823715477732975,0.033495481762467846,46,53
60,Chate,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1191826,93.3236259,0.03437156040007629,0.036523200412664374,24,43
61,Chulla,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1242982,93.411274,0.03532898125834725,0.03533319944269779,24,43
62,Damin H.Q.,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1041982,93.3343841,0.14849977179232568,0.1972975186104608,24,43
63,Damin Village,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1050092,93.3443566,0.03619606152153578,0.040313289829465034,24,43
64,Digok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1272533,93.3496878,0.03174880325832827,0.03199389757895809,24,43
65,Fuba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1198537,93.3376816,0.0337548286827174,0.036432067913103466,24,43
66,Huri,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1095105,93.3045975,0.047338861374941706,0.0763061510035983,24,43
67,Katuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1189094,93.2501395,0.03256618845241637,0.039660465409886124,24,43
68,Kopila,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1092251,93.3088818,0.05654548171550362,0.10424541601871118,24,43
69,Machang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0962492,93.3005705,0.03312265748664247,0.03693526533421386,24,43
70,Nisuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1081822,93.414929,0.030762120353401295,0.036423568549645145,24,43
71,Pipa,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0735847,93.283149,0.03295428727921348,0.033646101256065625,24,43
72,Ramu,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1084035,93.4191096,0.030695871288619274,0.03836073582510948,24,43
73,Rane,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1440384,93.3476122,0.03468023462651623,0.03506187401006169,24,43
74,Rawiok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.137739,93.3249207,0.033825986649752046,0.03441716863918192,24,43
75,Ruba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1221707,93.2334312,0.03526503446662906,0.035580882013161425,24,43
76,Senamriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1320477,93.3191302,0.03478374221769094,0.03686811492784825,24,43
77,Sibia,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1070207,93.3012679,0.040549659063247825,0.04883558175971546,24,43
78,Tarba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1607522,93.4195471,0.03350686750259597,0.03455492907356596,24,43
79,Tokriang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1110736,93.3311986,0.03345384945226701,0.03470710000646722,24,43
80,Yaso,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1002726,93.3473375,0.03464851368685187,0.035080176339653046,24,43
81,Buhan,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8895447,93.283152,0.035019230501155296,0.03533494419211325,55,47
82,Buyang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,0.04358134253437912,0.05546707207341499,79,90
83,Buyang-II,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9419935,93.286116,0.04358134253437912,0.05546707207341499,79,90
84,Chello,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8849215,93.291646,0.03742719624627748,0.05318367129891922,55,47
85,Chimpu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9522411,93.2566277,0.037813064248695634,0.03717975180828406,79,90
86,Chomi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.955673,93.2595487,0.039442482968392575,0.03883194543906798,79,90
87,Chote,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9524396,93.2616596,0.03932454624403233,0.038233085403230435,79,90
88,Kiodhriang,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8581693,93.2541827,0.033195483751971344,0.05149839664955634,55,47
89,Nangram,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9071735,93.4387839,0.04638033937542755,0.05018679183892857,34,25
90,Nyolo,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9012651,93.3076219,0.03483619468005593,0.037119445079755155,55,47
91,Pakba,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8903622,93.3997806,0.032290500030902496,0.03363489201610262,55,47
92,Papu,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9111524,93.3917445,0.034027600544501026,0.033994915386291735,55,47
93,Rengchi,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8914093,93.4267781,0.0333293168585568,0.03547017109937748,49,38
94,Tate,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.9539309,93.2699171,0.03479130512291294,0.037545132951605824,79,90
95,Yumlam,Kurung Kumey,Koloriang,Arunachal Pradesh,True,27.8897958,93.4560068,0.05927697190059654,0.06774410156390384,29,22
96,Cheba,Kurung Kumey,Parsi-Parlo,Arunachal Pradesh,True,28.0204954,93.4801015,0.03776343775868582,0.03842691103912133,53,65
