village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,vv_before,vh_before,vv_after,vh_after,sar_before_image_count,sar_after_image_count
1,Upper Traflagam 266829,Anjaw,Unknown,Arunachal Pradesh,True,28.3500638,96.6336613,10.208156031306832,control (non-VVP),True,-10.622009755038922,-16.61508042299449,-10.92668242426731,-17.160195878163453,30,39
2,Tarampa,Anjaw,Unknown,Arunachal Pradesh,True,28.3416126,96.6186283,11.259931743843367,control (non-VVP),True,-7.211595373199325,-13.505853792881968,-7.550475931499837,-14.036815618679734,30,39
3,Matkrong,Anjaw,Unknown,Arunachal Pradesh,True,27.8559038,96.9824133,12.21174958433055,control (non-VVP),True,-9.567028754230597,-16.11998117401283,-9.557640293426882,-16.15913086958711,30,40
4,Abochagan,Anjaw,Unknown,Arunachal Pradesh,True,28.3136489,96.6140466,14.385494242096671,control (non-VVP),True,-10.331761262227609,-16.272185811385917,-10.469800700539716,-16.615972977588157,30,39
5,Khalega,Anjaw,Unknown,Arunachal Pradesh,True,28.2806477,96.5718641,17.389387120162088,control (non-VVP),True,-15.25242808891113,-20.644216865407618,-15.518642591534572,-21.26951836340981,30,39
6,Shirong,Anjaw,Unknown,Arunachal Pradesh,True,27.903587,96.9409105,18.879751233480885,control (non-VVP),True,-6.879347052868824,-13.637455631344041,-6.9433518822141185,-13.731762925274692,30,40
7,Khampti Pani,Anjaw,Unknown,Arunachal Pradesh,True,27.9282865,96.9573301,20.07481274759241,control (non-VVP),True,-5.691988632237056,-12.608545776437449,-5.6898446661474615,-12.650970786823997,30,41
8,Xiao Madengliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2208547,96.5152684,20.66721205919266,control (non-VVP),True,-4.507864619083878,-11.165854904964103,-4.461822217474492,-11.256764194438032,30,39
9,Tilam,Anjaw,Unknown,Arunachal Pradesh,True,28.1432798,97.0060273,21.122207787766506,control (non-VVP),True,-5.896597655246064,-12.268748901215583,-5.953566454709912,-12.101130094620144,30,39
10,Minjong,Anjaw,Unknown,Arunachal Pradesh,True,27.9447015,96.9531849,21.775446122663485,control (non-VVP),True,-2.4506044234848785,-9.479679507210518,-2.53084093144704,-9.305289229919556,30,40
11,Jiliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2187403,96.536865,21.785872271677064,control (non-VVP),True,-11.191837810263632,-16.95654624598598,-11.230672375782936,-17.08875583360898,30,39
12,Walang,Anjaw,Unknown,Arunachal Pradesh,True,27.882509,96.8550641,21.853357578949343,control (non-VVP),True,-7.841762981495913,-14.228759192521059,-7.880655740537571,-14.325099035123761,30,40
13,Tinai,Anjaw,Unknown,Arunachal Pradesh,True,28.1383669,97.0271327,22.12939324344721,control (non-VVP),True,-10.491182898502847,-17.72535641275672,-10.393243277997348,-17.68363485952,30,39
14,Kalin,Anjaw,Unknown,Arunachal Pradesh,True,27.9654847,96.9709934,22.15837709115443,control (non-VVP),True,-12.731430607946258,-19.32728171237962,-12.75208978934787,-19.345880876237903,30,40
15,Halla,Anjaw,Unknown,Arunachal Pradesh,True,27.9655372,96.962708,22.66191626116016,control (non-VVP),True,-3.0426791582043182,-9.984683888066748,-3.019888378047467,-10.00970026847772,30,40
16,Yashong Camp,Anjaw,Unknown,Arunachal Pradesh,True,27.9752592,96.9686698,23.166499666887443,control (non-VVP),True,-3.4300285629571134,-10.308328448772874,-3.3477026921604702,-10.230885310264384,30,40
17,Kaladun,Anjaw,Unknown,Arunachal Pradesh,True,27.9839219,96.9737606,23.672719201131454,control (non-VVP),True,-10.337993324006518,-16.637320305816687,-10.444597959176054,-16.793597886919862,30,40
18,Menilkrai,Anjaw,Unknown,Arunachal Pradesh,True,28.1024223,97.0047561,25.56053181319565,control (non-VVP),True,-9.138256120197525,-16.393539325168344,-9.32798518298604,-16.361066755861845,30,39
19,Sarti,Anjaw,Unknown,Arunachal Pradesh,True,28.0081411,96.9619129,26.55964309895621,control (non-VVP),True,-3.441924754514924,-10.619348377059238,-3.3544614727249398,-10.501608168343042,30,53
20,Tarafliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1541848,96.5174198,27.7622677852453,control (non-VVP),True,-5.828225778042375,-13.015997938028962,-6.1109812393603145,-13.133331329190884,30,39
21,Chinagam,Anjaw,Unknown,Arunachal Pradesh,True,28.1625933,96.5530756,28.042568905542584,control (non-VVP),True,-11.564533095247961,-17.685422290901684,-11.800124944658616,-18.010730752844506,30,39
22,Nilang,Anjaw,Unknown,Arunachal Pradesh,True,28.1764497,96.6564414,28.486893314419977,control (non-VVP),True,-9.104598805291728,-15.714592526292304,-9.289708341239079,-15.961174165758445,30,39
23,Chipru,Anjaw,Unknown,Arunachal Pradesh,True,28.1503735,96.5374173,28.7529084694698,control (non-VVP),True,-9.338275940829263,-15.758319618506913,-9.621996528786191,-16.18213277468431,30,39
24,Jiongming,Anjaw,Unknown,Arunachal Pradesh,True,28.0367462,96.9717952,28.828837329459443,control (non-VVP),True,-7.353485155280617,-14.017336183903177,-7.488319767470839,-14.157824990653525,30,39
25,Warti,Anjaw,Unknown,Arunachal Pradesh,True,28.0392081,96.9729224,29.015113460311976,control (non-VVP),True,-9.524125477610939,-16.16873770886166,-9.588050998613843,-16.21857921949107,30,39
26,Chareimna,Anjaw,Unknown,Arunachal Pradesh,True,28.1695789,96.6589609,29.05506117418188,control (non-VVP),True,-12.309841097563464,-18.294655076992676,-12.390559660383065,-18.616614026133657,30,39
27,Bringkong,Anjaw,Unknown,Arunachal Pradesh,True,28.1715853,96.6504862,29.235932788914383,control (non-VVP),True,-3.0679649820014894,-10.227714372912581,-3.1587756786864696,-10.409485110603393,30,39
28,Baligam,Anjaw,Unknown,Arunachal Pradesh,True,28.1433091,96.5356291,29.43782006027962,control (non-VVP),True,-2.910056495228648,-10.257235661514995,-3.0770674925101704,-10.509829213238847,30,39
29,Sethi,Anjaw,Unknown,Arunachal Pradesh,True,28.055845,96.9797354,30.465233345920453,control (non-VVP),True,-8.918130819248853,-15.792248762673275,-9.147156544967855,-15.939142139258465,30,39
30,Challang,Anjaw,Unknown,Arunachal Pradesh,True,28.1551886,96.6522501,30.782237092846348,control (non-VVP),True,-9.773387315168657,-16.14422867311569,-9.868123370089855,-16.4438450779291,30,39
31,Matiliang 266674,Anjaw,Unknown,Arunachal Pradesh,True,28.1076072,96.445203,30.920931427207496,control (non-VVP),True,-14.013715372210202,-20.114445029010447,-14.27430010020387,-20.127943305562194,30,39
32,Tololiang,Anjaw,Unknown,Arunachal Pradesh,True,28.1256641,96.547808,31.674637251537064,control (non-VVP),True,-17.445050315733837,-22.011295129232103,-18.113755304270995,-23.360687568410995,30,39
33,Chamemla,Anjaw,Unknown,Arunachal Pradesh,True,28.1286743,96.5620271,31.85281522562808,control (non-VVP),True,-12.876470229851515,-18.81163009639268,-13.108764668419697,-19.204179792571992,30,39
34,Bulimina,Anjaw,Unknown,Arunachal Pradesh,True,28.1406221,96.6583188,31.954247870225128,control (non-VVP),True,-8.76333033743932,-15.205563891637803,-8.97843163869099,-15.418919026352544,30,39
35,Hoiliang 266714,Anjaw,Unknown,Arunachal Pradesh,True,28.0981287,96.4478867,32.0053640309043,control (non-VVP),True,-10.918995116378383,-17.288145914429784,-11.091203874404648,-17.1859220398195,30,39
36,Tuboka,Anjaw,Unknown,Arunachal Pradesh,True,28.1222299,96.5542939,32.24772241518634,control (non-VVP),True,-13.010264113718138,-18.5822979784767,-13.43325525296906,-19.333532536287283,30,39
37,Tikromna,Anjaw,Unknown,Arunachal Pradesh,True,28.1182382,96.5447809,32.358005180805385,control (non-VVP),True,-11.851761028164542,-18.22455550836121,-12.240763931080933,-18.840326290712103,30,39
38,Adomla,Anjaw,Unknown,Arunachal Pradesh,True,28.1135364,96.5375112,32.63931418458326,control (non-VVP),True,-5.485661092626105,-12.673877506830406,-5.711938016904258,-13.056497288417116,30,39
39,Tafraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0886403,96.4529695,33.153023601738646,control (non-VVP),True,-7.731334934952021,-14.44094189139752,-7.960598179774007,-14.565085798409378,30,53
40,Paluliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1167741,96.5706359,33.39289000170816,control (non-VVP),True,-1.6475105064441995,-8.554067035074397,-1.7328736139515533,-8.658040880400224,30,39
41,Tikromla,Anjaw,Unknown,Arunachal Pradesh,True,28.0971168,96.5348369,34.31385251032624,control (non-VVP),True,-7.822032053196039,-14.406223523393324,-8.041178668762397,-14.893225446858557,30,39
42,Champhai,Anjaw,Unknown,Arunachal Pradesh,True,28.1085212,96.57408,34.3674923444699,control (non-VVP),True,-2.796829677521807,-9.79858816933447,-2.8775112681475457,-9.877245863135405,30,39
43,Chirang 266667,Anjaw,Unknown,Arunachal Pradesh,True,28.0684239,96.4069505,34.51581155631747,control (non-VVP),True,-4.680648535634179,-11.373107481038964,-5.022124682714827,-11.661618077873428,30,40
44,Barafu,Anjaw,Unknown,Arunachal Pradesh,True,28.1017011,96.558488,34.52797727422521,control (non-VVP),True,-3.4001904481858722,-10.502492555115044,-3.5658961164071954,-10.636267010551581,30,39
45,Langum,Anjaw,Unknown,Arunachal Pradesh,True,28.1218659,96.6112899,34.76622900601115,control (non-VVP),True,-7.525365987972158,-14.048060207116484,-7.826880860106335,-14.495800558585772,30,39
46,Khupa Village 266673,Anjaw,Unknown,Arunachal Pradesh,True,28.0771387,96.4736667,34.92083910596573,control (non-VVP),True,-8.47360700366772,-14.98950327253575,-8.83763262584533,-15.274625986239846,30,40
47,Hayugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0893566,96.5438268,35.3843601683056,control (non-VVP),True,-11.818838510179367,-17.808086212150904,-11.958693629941395,-18.13274649184225,30,39
48,Kalamdia,Anjaw,Unknown,Arunachal Pradesh,True,28.0994655,96.5765815,35.38966199183561,control (non-VVP),True,-4.133071465034538,-11.08183040853795,-4.283152774978324,-11.339224956089062,30,39
49,Khugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0970181,96.5765587,35.64039244454056,control (non-VVP),True,-5.691749626890599,-12.641996121565949,-5.863939303341939,-12.888270259185763,30,39
50,Swami Camp,Anjaw,Unknown,Arunachal Pradesh,True,28.0761921,96.5004673,35.71663701514807,control (non-VVP),True,-4.553264271864221,-11.576788766923293,-4.577340430017535,-11.712639991694967,30,40
51,Chameliang,Anjaw,Unknown,Arunachal Pradesh,True,28.081538,96.5395274,36.10070905223501,control (non-VVP),True,-8.95451737430428,-15.488486916701033,-9.094042947592163,-15.733678776702865,30,39
