village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
35,Emuli,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8871158,95.8356573,-0.25978977746916604,-0.22054607712601582,98,118,0.3614628881085908,0.16950873152137322,4,4
36,Gipulin,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8479222,95.9666253,-0.19728667716781245,-0.21841145584758354,196,236,0.40011162097964964,0.28955356377576075,4,4
37,Kamuyi,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9926912,95.8050502,-0.2667109625897397,-0.25327283507706383,49,59,0.3710132095519667,0.13335902851058523,4,4
38,Mipi H.Q.,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9641685,95.8081308,-0.20202967809743744,-0.15940648529995827,49,59,0.3624547597239999,0.3373416254962731,4,4
39,Mipido,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.950424,95.8144355,-0.21744749211938957,-0.21422025990736715,49,59,0.4214565266733584,0.11893477958181631,4,4
40,Etalin Bridge Point,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6094048,95.8703668,-0.1261766469361303,-0.13177703143089955,50,59,0.31064220401672044,0.3305504692530414,4,4
41,Maliney,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6750197,96.1532235,-0.18721510170283653,-0.19426121737163465,48,59,0.41670454469594087,0.12524999613788995,4,4
42,Mawali,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6599698,96.0170217,-0.21507084413613864,-0.20671208013542888,100,118,0.37497747159219,0.16445945592613906,4,4
43,Punli,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6565904,95.8520788,-0.21541990533423558,-0.2518707606872274,50,59,0.4014772663062268,0.2257840888066725,4,4
44,Lengdi/Liang,East Kameng,Bameng,Arunachal Pradesh,True,27.5376292,92.923885,-0.2548350379275984,-0.2515288732889304,49,60,0.39799768298312477,0.3264120232175898,4,4
45,Upper Liyak,East Kameng,Bameng,Arunachal Pradesh,True,27.5337804,92.8465101,-0.2531327072147616,-0.24992739806627176,49,60,0.42524553728955133,0.320892849404897,4,4
