coef,se,p,ci_lo,ci_hi,n,n_districts,outcome,dropped_district,significant
-0.0036954653917555813,0.004870969129182584,0.44804909749980915,-0.013242564884953446,0.005851634101442283,1744,13,ndbi,Anjaw,False
-0.002845948536963294,0.004551878261421311,0.5318233310311943,-0.011767629929349065,0.006075732855422476,1880,13,ndbi,Chamoli,False
-0.0033509307751165007,0.004753035024077691,0.48080485713563603,-0.012666879422308775,0.005965017872075774,1800,13,ndbi,Dibang Valley,False
-0.002910107411217999,0.0047095796969449134,0.5366331241689681,-0.012140883617230029,0.006320668794794031,1816,13,ndbi,East Kameng,False
-0.002860298581591536,0.004497795607669022,0.5248198132882788,-0.011675977972622818,0.005955380809439746,1904,13,ndbi,Kra daadi,False
-0.005642616531862488,0.005062197428720101,0.26499720284818806,-0.015564523492153886,0.00427929042842891,1384,13,ndbi,Kurung Kumey,False
-0.0027782439179211416,0.004423631454436602,0.5299738244462855,-0.01144856156861688,0.005892073732774597,1936,13,ndbi,Lower Dibang,False
0.0004594727063801374,0.003119437545333624,0.8829004052033729,-0.0056546248824737655,0.00657357029523404,1696,13,ndbi,North,False
-0.00405505279920193,0.004614660632094465,0.3795462708831828,-0.013099787638107081,0.00498968203970322,1816,13,ndbi,Pithoragarh,False
-0.001336620033842606,0.00456159957218641,0.7695101944794465,-0.01027735519532797,0.007604115127642757,1758,13,ndbi,Tawang,False
-0.003277428209280897,0.004748384604081075,0.4900560878804785,-0.012584262033279803,0.006029405614718009,1866,13,ndbi,Upper Siang,False
-0.0019393819280886238,0.004403048495485176,0.6596014791844894,-0.010569356979239568,0.006690593123062321,1880,13,ndbi,Upper Subansiri,False
-0.0022583292161374446,0.004510293041489526,0.6165782942319942,-0.011098503577456915,0.0065818451451820255,1864,13,ndbi,Uttarkashi,False
-0.0024888144286469016,0.00440933010478254,0.5724528489718658,-0.01113110143402068,0.006153472576726876,1928,13,ndbi,West Kameng,False
0.008686566914091642,0.04045513694361344,0.8299848593219539,-0.0706055014953907,0.08797863532357399,1744,13,lights,Anjaw,False
-0.009488380817302078,0.02315382651103327,0.681954481347308,-0.05486988077892729,0.03589311914432313,1880,13,lights,Chamoli,False
0.018429190085012648,0.04192444576689238,0.6602405993022604,-0.06374272361809642,0.10060110378812172,1800,13,lights,Dibang Valley,False
0.01958721903436622,0.041821516203612616,0.6395324043655173,-0.0623829527247145,0.10155739079344694,1816,13,lights,East Kameng,False
0.01748272732758105,0.03971423223794514,0.6597827354711292,-0.060357167858791416,0.09532262251395351,1904,13,lights,Kra daadi,False
0.042384308755120115,0.048725547598698786,0.3843779950292333,-0.053117764538329504,0.13788638204856973,1384,13,lights,Kurung Kumey,False
0.018119042182530798,0.03918765799479854,0.6438188494989346,-0.05868876748727435,0.09492685185233594,1936,13,lights,Lower Dibang,False
0.03618892011779207,0.042961875961570625,0.39959228113541945,-0.048016356766886356,0.12039419700247049,1696,13,lights,North,False
0.0211417686581723,0.04216406926445541,0.6160778859553071,-0.0614998071001603,0.1037833444165049,1816,13,lights,Pithoragarh,False
0.0159957532709305,0.04331322216938944,0.7119010227282208,-0.0688981621810728,0.1008896687229338,1758,13,lights,Tawang,False
0.012422045217642008,0.04021176696772902,0.7573856711325591,-0.06639301803910687,0.09123710847439089,1866,13,lights,Upper Siang,False
0.01767328784670008,0.040193843431487554,0.660153413374585,-0.06110664527901552,0.09645322097241568,1880,13,lights,Upper Subansiri,False
0.020568049289047874,0.04114655310362128,0.6171645331307275,-0.06007919479404983,0.10121529337214558,1864,13,lights,Uttarkashi,False
0.01951313047780534,0.03954740256979634,0.6217220859686342,-0.05799977855899548,0.09702603951460616,1928,13,lights,West Kameng,False
