system:index,after_image_count,before_image_count,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo,latitude,longitude,ndbi_before_image_count,ndbi_after_image_count,lights_before_image_count,lights_after_image_count
00000000000000000016,2,0,Walong,Anjaw,True,0.26678293214023846,0.29251660502300186,-0.16700696021957548,-0.15289965393061986,Arunachal Pradesh,Supkung,23,"{""type"":""Point"",""coordinates"":[97.0363708464782,28.1588798017296]}",28.1588813,97.0363709,48,58,4,4
00000000000000000017,2,0,Walong,Anjaw,True,1.4988207511446716,0.7029051149592679,-0.13820532087041595,-0.12490486356632523,Arunachal Pradesh,Walong,24,"{""type"":""Point"",""coordinates"":[97.01664378341778,28.129494325787398]}",28.1294938,97.0166444,48,58,4,4
00000000000000000018,2,0,Walong,Anjaw,True,0.23605364226464157,0.27991703785626243,-0.19198612592071415,-0.17589350258119896,Arunachal Pradesh,Yakung,25,"{""type"":""Point"",""coordinates"":[97.02634678731006,28.19975192198549]}",28.1997526,97.0263468,48,58,4,4
00000000000000000019,21,7,Anini-Mipi,Dibang Valley,True,0.31703859239283283,0.38717002483288976,-0.23778304734996014,-0.22358417288208673,Arunachal Pradesh,Achali,26,"{""type"":""Point"",""coordinates"":[95.97047624886461,28.842946035237684]}",28.8429461,95.9704783,196,236,4,4
0000000000000000001a,21,7,Anini-Mipi,Dibang Valley,True,0.2436506136634449,0.3700559866455074,-0.1816443277240884,-0.178435678385396,Arunachal Pradesh,Achengo,27,"{""type"":""Point"",""coordinates"":[95.94283874053535,28.823852164526826]}",28.8238506,95.9428387,196,236,4,4
0000000000000000001b,12,3,Anini-Mipi,Dibang Valley,True,0.05107730301913985,0.33743968537371416,-0.2412131895166576,-0.22460067174505102,Arunachal Pradesh,Acheso,28,"{""type"":""Point"",""coordinates"":[95.9744805216106,28.926375815947658]}",28.9263772,95.97448,98,118,4,4
0000000000000000001c,21,7,Anini-Mipi,Dibang Valley,True,0.2530849874841983,0.45268764200457945,-0.1933090253068009,-0.1739863636774496,Arunachal Pradesh,Alinye,29,"{""type"":""Point"",""coordinates"":[95.96289577707375,28.83468332098565]}",28.8346828,95.9628967,196,236,4,4
0000000000000000001d,21,7,Anini-Mipi,Dibang Valley,True,0.11742574262573119,0.39318481284399637,-0.2481724525781447,-0.2131769726410399,Arunachal Pradesh,Angrim Valley,30,"{""type"":""Point"",""coordinates"":[95.97862302648926,28.88428190200313]}",28.8842816,95.9786208,196,236,4,4
0000000000000000001e,21,7,Anini-Mipi,Dibang Valley,True,0.24949394938575947,0.3317574196883423,-0.1969255593727831,-0.1935234115737186,Arunachal Pradesh,Aropo,31,"{""type"":""Point"",""coordinates"":[95.93970845159583,28.82308965824669]}",28.8230901,95.9397069,196,236,4,4
0000000000000000001f,21,7,Anini-Mipi,Dibang Valley,True,0.25771714076565744,0.4333713850159953,-0.19981945942350737,-0.17782322543570928,Arunachal Pradesh,Atoto,32,"{""type"":""Point"",""coordinates"":[95.96474184490988,28.83558405939845]}",28.8355826,95.9647411,196,236,4,4
00000000000000000020,12,3,Anini-Mipi,Dibang Valley,True,0.008375411679401878,0.3341355593353673,-0.24696713114549504,-0.21693956631314948,Arunachal Pradesh,Echito,33,"{""type"":""Point"",""coordinates"":[95.97527870069916,28.929158295005006]}",28.9291593,95.9752771,98,118,4,4
00000000000000000021,7,2,Anini-Mipi,Dibang Valley,True,0.27783865434023247,0.3849752221404193,-0.18386426581104204,-0.23146951869069105,Arunachal Pradesh,Ediya,34,"{""type"":""Point"",""coordinates"":[95.80765217389803,28.963818887493442]}",28.9638191,95.8076515,49,59,4,4
00000000000000000022,12,4,Anini-Mipi,Dibang Valley,True,0.1670424492317103,0.364636161985839,-0.23080677614311365,-0.2634856016425803,Arunachal Pradesh,Emuli,35,"{""type"":""Point"",""coordinates"":[95.83565532851367,28.887117890273117]}",28.8871158,95.8356573,98,118,4,4
00000000000000000023,21,7,Anini-Mipi,Dibang Valley,True,0.27317296770775285,0.4016462813097325,-0.22584758073529354,-0.19962906848698925,Arunachal Pradesh,Gipulin,36,"{""type"":""Point"",""coordinates"":[95.96662358555443,28.847922392013327]}",28.8479222,95.9666253,196,236,4,4
00000000000000000024,7,2,Anini-Mipi,Dibang Valley,True,0.13041024052821068,0.36974944331835014,-0.25086759465611425,-0.25869172111629485,Arunachal Pradesh,Kamuyi,37,"{""type"":""Point"",""coordinates"":[95.80504805888282,28.992691566814507]}",28.9926912,95.8050502,49,59,4,4
00000000000000000025,7,2,Anini-Mipi,Dibang Valley,True,0.2949916358908416,0.381644371959278,-0.18223299888780795,-0.22882119802429912,Arunachal Pradesh,Mipi H.Q.,38,"{""type"":""Point"",""coordinates"":[95.80812929771075,28.96416669737561]}",28.9641685,95.8081308,49,59,4,4
00000000000000000026,7,2,Anini-Mipi,Dibang Valley,True,0.13102359652241158,0.419239848983013,-0.21618969979062047,-0.21785795446027414,Arunachal Pradesh,Mipido,39,"{""type"":""Point"",""coordinates"":[95.81443446660032,28.950423747928895]}",28.950424,95.8144355,49,59,4,4
00000000000000000027,5,2,Etalin-Malinye,Dibang Valley,True,0.31523823577726906,0.33119674828822304,-0.20489538101230406,-0.1928446977574426,Arunachal Pradesh,Etalin Bridge Point,40,"{""type"":""Point"",""coordinates"":[95.8703649711137,28.609405076664512]}",28.6094048,95.8703668,50,59,4,4
00000000000000000028,4,0,Etalin-Malinye,Dibang Valley,True,0.12882270413957186,0.39400167556550403,-0.2224623783494047,-0.20005965299823478,Arunachal Pradesh,Maliney,41,"{""type"":""Point"",""coordinates"":[96.15322358733798,28.675020748665965]}",28.6750197,96.1532235,49,59,4,4
00000000000000000029,9,4,Etalin-Malinye,Dibang Valley,True,0.16511997459123703,0.37485769620564363,-0.20130866974322845,-0.2093510869291811,Arunachal Pradesh,Mawali,42,"{""type"":""Point"",""coordinates"":[96.01702034566048,28.659971282610588]}",28.6599698,96.0170217,100,118,4,4
0000000000000000002a,5,2,Etalin-Malinye,Dibang Valley,True,0.21763407701220588,0.39227094743504876,-0.26658554290625314,-0.21802180901348758,Arunachal Pradesh,Punli,43,"{""type"":""Point"",""coordinates"":[95.85207819769352,28.656591284012077]}",28.6565904,95.8520788,50,59,4,4
0000000000000000002b,3,2,Bameng,East Kameng,True,0.2988487490311971,0.3948363432362171,-0.26987776565442556,-0.2592452604697068,Arunachal Pradesh,Lengdi/Liang,44,"{""type"":""Point"",""coordinates"":[92.92388463611879,27.53762892476142]}",27.5376292,92.923885,49,60,4,4
0000000000000000002c,3,2,Bameng,East Kameng,True,0.30829417592193725,0.41997763081151634,-0.23965615581395136,-0.2431891088799573,Arunachal Pradesh,Upper Liyak,45,"{""type"":""Point"",""coordinates"":[92.84651031463939,27.533780720552294]}",27.5337804,92.8465101,49,60,4,4
0000000000000000002d,3,2,Chayangtajo,East Kameng,True,0.21573807257790942,0.36286349318400607,-0.23972420023589983,-0.21299062386615553,Arunachal Pradesh,Dao,46,"{""type"":""Point"",""coordinates"":[92.93835887813826,27.783285260896808]}",27.7832832,92.9383609,49,59,4,4
0000000000000000002e,7,5,Chayangtajo,East Kameng,True,0.24886566078250885,0.33987737296682796,-0.221079477298034,-0.26142161398958047,Arunachal Pradesh,Dara Yangfo,47,"{""type"":""Point"",""coordinates"":[93.04871717011,27.732817155173905]}",27.732817,93.0487159,98,120,4,4
0000000000000000002f,7,5,Chayangtajo,East Kameng,True,0.30561388909816745,0.3298500063684252,-0.21388927530588236,-0.22524239708232066,Arunachal Pradesh,Lamrah,48,"{""type"":""Point"",""coordinates"":[93.0373865943332,27.69672073214626]}",27.6967225,93.0373888,98,120,4,4
00000000000000000030,7,5,Chayangtajo,East Kameng,True,0.2781994323047359,0.341713477319546,-0.2157769642987284,-0.24421556398396224,Arunachal Pradesh,Loto Yangfo,49,"{""type"":""Point"",""coordinates"":[93.05929415780878,27.729655652527015]}",27.7296573,93.059293,98,120,4,4
00000000000000000031,7,5,Chayangtajo,East Kameng,True,0.19985228340030387,0.41399386920524955,-0.2864669845276615,-0.2561402462467278,Arunachal Pradesh,Diya Sullung,50,"{""type"":""Point"",""coordinates"":[93.01248697405076,27.776043680786014]}",27.7760452,93.0124888,98,120,4,4
00000000000000000032,4,3,Chayangtajo,East Kameng,True,0.3135044561765555,0.3402901745866983,-0.26733896911472044,-0.2699341544705203,Arunachal Pradesh,Hara Yangfo,51,"{""type"":""Point"",""coordinates"":[93.13278014316955,27.75164793892261]}",27.751648,93.1327809,49,61,4,4
00000000000000000033,4,3,Chayangtajo,East Kameng,True,0.29368156168047943,0.39190223433451943,-0.2496378281596043,-0.2572971304763714,Arunachal Pradesh,Jayang Bagang,52,"{""type"":""Point"",""coordinates"":[93.17910128491276,27.754738095952646]}",27.7547367,93.1791026,49,61,4,4
00000000000000000034,4,3,Chayangtajo,East Kameng,True,0.3202194382415878,0.3745027894775072,-0.26154058186686824,-0.25154164898865305,Arunachal Pradesh,Kesse Bagang,53,"{""type"":""Point"",""coordinates"":[93.20344797666458,27.780930855540586]}",27.7809294,93.2034502,49,61,4,4
00000000000000000035,3,2,Chayangtajo,East Kameng,True,0.1502199326133675,0.3890033469168275,-0.23851429209668992,-0.25782487651048325,Arunachal Pradesh,Langchu Sullung,54,"{""type"":""Point"",""coordinates"":[92.93551397166617,27.7569542691762]}",27.7569534,92.9355132,49,59,4,4
00000000000000000036,7,5,Chayangtajo,East Kameng,True,0.3248190409887607,0.37828785861388087,-0.2502416310720952,-0.25157717017269643,Arunachal Pradesh,Nampe Bagang,55,"{""type"":""Point"",""coordinates"":[93.0313043804963,27.714062176143116]}",27.7140627,93.0313033,98,120,4,4
00000000000000000037,7,5,Chayangtajo,East Kameng,True,0.341450438268466,0.417797884988891,-0.24743857830121546,-0.2665705178451608,Arunachal Pradesh,Raro Sullung,56,"{""type"":""Point"",""coordinates"":[93.07173504974789,27.689006487323798]}",27.6890058,93.0717372,98,120,4,4
00000000000000000038,7,5,Chayangtajo,East Kameng,True,0.32282645414982525,0.39042131662634866,-0.26202040021942785,-0.2357241223363607,Arunachal Pradesh,Tamsang Yangfo,57,"{""type"":""Point"",""coordinates"":[93.09178762718524,27.676097389774075]}",27.6760974,93.0917894,98,120,4,4
00000000000000000039,3,2,Chayangtajo,East Kameng,True,0.2562598919632745,0.3833898288045226,-0.20659625002811746,-0.22637144011753202,Arunachal Pradesh,Warriam Sullung,58,"{""type"":""Point"",""coordinates"":[92.98025659163645,27.727943357722484]}",27.7279436,92.9802579,49,59,4,4
0000000000000000003a,3,2,Khenewa,East Kameng,True,0.23963808922101235,0.29510858034370735,-0.2773426614767024,-0.247173070086126,Arunachal Pradesh,Wallong,59,"{""type"":""Point"",""coordinates"":[92.96858712417958,27.653066132833022]}",27.6530641,92.9685879,49,60,4,4
0000000000000000003b,2,1,Damin,Kurung Kumey,True,0.22181537621952466,0.3791554432726067,-0.2622015727095705,-0.29321789644323876,Arunachal Pradesh,Chate,60,"{""type"":""Point"",""coordinates"":[93.32362520915599,28.11918042505078]}",28.1191826,93.3236259,49,60,4,4
0000000000000000003c,2,1,Damin,Kurung Kumey,True,0.13756764323157683,0.4198083370554407,-0.2810210898289113,-0.2794907390864677,Arunachal Pradesh,Chulla,61,"{""type"":""Point"",""coordinates"":[93.41127329946252,28.124299473060137]}",28.1242982,93.411274,49,60,4,4
