village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
29,Challang,Anjaw,Unknown,Arunachal Pradesh,True,28.1551886,96.6522501,31.561882321674908,control (non-VVP),True,-0.20571967401046184,-0.2562880036091312,24,29,0.23857986182812496,0.2352418461887855,4,4
30,Matiliang 266674,Anjaw,Unknown,Arunachal Pradesh,True,28.1076072,96.445203,31.756415094290727,control (non-VVP),True,-0.15983690936795683,-0.2186991437704493,24,29,0.3592388858894507,0.17570556150542366,4,4
31,Tololiang,Anjaw,Unknown,Arunachal Pradesh,True,28.1256641,96.547808,32.581483962495284,control (non-VVP),True,-0.22179721248127368,-0.26582353914856005,24,29,0.1534988953018557,0.20482891617100232,4,4
32,Bulimina,Anjaw,Unknown,Arunachal Pradesh,True,28.1406221,96.6583188,32.764996020317085,control (non-VVP),True,-0.2120685767412292,-0.26535621457627745,24,29,0.4152413043041957,0.22417789165821136,4,4
33,Chamemla,Anjaw,Unknown,Arunachal Pradesh,True,28.1286743,96.5620271,32.76560254020825,control (non-VVP),True,-0.22843417279970676,-0.28716176245675223,24,29,0.3944363866134414,0.1909179718765829,4,4
34,Hoiliang 266714,Anjaw,Unknown,Arunachal Pradesh,True,28.0981287,96.4478867,32.87033273690764,control (non-VVP),True,-0.20147115902820392,-0.2322766400342302,24,29,0.37095896909612236,0.1927854762868976,4,4
35,Tuboka,Anjaw,Unknown,Arunachal Pradesh,True,28.1222299,96.5542939,33.171408601413894,control (non-VVP),True,-0.2258415276288899,-0.2798426068016549,24,29,0.2512984499087761,0.20935492948572235,4,4
36,Tikromna,Anjaw,Unknown,Arunachal Pradesh,True,28.1182382,96.5447809,33.28429819060436,control (non-VVP),True,-0.20203059194277934,-0.20804894105235794,24,29,0.15034482811263725,0.21970521913089266,4,4
37,Adomla,Anjaw,Unknown,Arunachal Pradesh,True,28.1135364,96.5375112,33.573250061226815,control (non-VVP),True,-0.20837883179125768,-0.1849440958785929,24,29,0.14727069276657948,0.23098993034704152,4,4
38,Tafraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0886403,96.4529695,34.04452371376132,control (non-VVP),True,-0.22537665332709358,-0.23610324033092348,24,29,0.2900859261233104,0.24212860248305582,4,4
39,Paluliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1167741,96.5706359,34.35047498734558,control (non-VVP),True,-0.23671484161467057,-0.2609716311681675,24,29,0.24391195882660474,0.18679125233247035,4,4
40,Tikromla,Anjaw,Unknown,Arunachal Pradesh,True,28.0971168,96.5348369,35.2956890008453,control (non-VVP),True,-0.24980712057270857,-0.24290853767557188,24,29,0.2914657071562467,0.2006139431841078,4,4
41,Champhai,Anjaw,Unknown,Arunachal Pradesh,True,28.1085212,96.57408,35.3533336068139,control (non-VVP),True,-0.2406172373540514,-0.24981691461761038,24,29,0.15115039436905475,0.19573512440913188,4,4
42,Chirang 266667,Anjaw,Unknown,Arunachal Pradesh,True,28.0684239,96.4069505,35.490783560347104,control (non-VVP),True,-0.17181173553775161,-0.23775119257051155,24,29,0.21752489236208195,0.2805199094644163,4,4
43,Barafu,Anjaw,Unknown,Arunachal Pradesh,True,28.1017011,96.558488,35.51745838467262,control (non-VVP),True,-0.23695285580238135,-0.25615627011534564,24,29,0.2426141465792146,0.18232182381811543,4,4
44,Langum,Anjaw,Unknown,Arunachal Pradesh,True,28.1218659,96.6112899,35.60474765169315,control (non-VVP),True,-0.21131404357303873,-0.2355777882017416,24,29,0.3248945632732404,0.19566869811794732,4,4
45,Khupa Village 266673,Anjaw,Unknown,Arunachal Pradesh,True,28.0771387,96.4736667,35.85713335997833,control (non-VVP),True,-0.2506459293372629,-0.2366387592777389,24,29,0.4317136387411073,0.22607102877593765,4,4
46,Hayugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0893566,96.5438268,36.3975148550209,control (non-VVP),True,-0.25033120729903136,-0.27918841461707194,24,29,0.38281494093313395,0.21920568465256235,4,4
47,Kalamdia,Anjaw,Unknown,Arunachal Pradesh,True,28.0994655,96.5765815,36.40508623687575,control (non-VVP),True,-0.23156442918402637,-0.26029557466775033,24,29,0.17424360487829724,0.1662708558432252,4,4
48,Khugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0970181,96.5765587,36.66303432749204,control (non-VVP),True,-0.220748686241397,-0.24608433414576056,24,29,0.16755260353864626,0.12995016852090527,4,4
49,Swami Camp,Anjaw,Unknown,Arunachal Pradesh,True,28.0761921,96.5004673,36.67803301896291,control (non-VVP),True,-0.19930794987611627,-0.16516368784604138,24,29,0.5850804611527828,0.32384849021358053,4,4
50,Chameliang,Anjaw,Unknown,Arunachal Pradesh,True,28.081538,96.5395274,37.134158522684906,control (non-VVP),True,-0.20359912544052788,-0.23649458152984432,24,29,0.41625839341806886,0.4461633055002098,4,4
51,Nenuliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0695914,96.5025516,37.45951468005961,control (non-VVP),True,-0.1878222063823921,-0.17071990866919876,24,29,0.5065770644834988,0.27574278792560497,4,4
52,Khupa Township,Anjaw,Unknown,Arunachal Pradesh,True,28.0654038,96.4926664,37.65555089900309,control (non-VVP),True,-0.19398592333324433,-0.15994994503233928,24,29,0.6955633566050786,0.6249831730307753,4,4
53,Amliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0586788,96.4688356,37.75712507527925,control (non-VVP),True,-0.23763431946604072,-0.17202423893542437,24,29,0.43823744364956907,0.21413128271116225,4,4
54,Mompani,Anjaw,Unknown,Arunachal Pradesh,True,28.0513007,96.4415599,37.94515665109882,control (non-VVP),True,-0.21072551075900098,-0.2331188065693693,24,29,0.23159807697022508,0.19935174486279614,4,4
55,Langjon,Anjaw,Unknown,Arunachal Pradesh,True,28.053427,96.4586965,38.07941411415684,control (non-VVP),True,-0.21154162775090096,-0.2052854060415417,24,29,0.22818562106012372,0.19700389811426502,4,4
56,Thamptong 266699,Anjaw,Unknown,Arunachal Pradesh,True,28.0678982,96.519264,38.09248610840039,control (non-VVP),True,-0.2605775627224846,-0.23795331843992482,24,29,0.28730918574188136,0.184070800538216,4,4
57,Talang,Anjaw,Unknown,Arunachal Pradesh,True,28.0840788,96.5820921,38.24089889824487,control (non-VVP),True,-0.25063872202525456,-0.24681053135492634,24,29,0.3228409086455263,0.2571369107407899,4,4
58,Mahikong,Anjaw,Unknown,Arunachal Pradesh,True,28.0544424,96.4828253,38.59732673051474,control (non-VVP),True,-0.19684234835084174,-0.20888479223626977,24,29,0.36180862764605376,0.20388826843252228,4,4
59,Blom,Anjaw,Unknown,Arunachal Pradesh,True,28.0783604,96.5876028,39.054611272326845,control (non-VVP),True,-0.23766430601040262,-0.25451658164233726,24,29,0.4092410732659378,0.2477790148862238,4,4
60,布拉母哈岗,Anjaw,Unknown,Arunachal Pradesh,True,28.0669816,96.5559722,39.19576507850824,control (non-VVP),True,-0.14757076234473465,-0.15685780609300737,24,29,0.952528117478095,1.1413835827575491,4,4
61,Kamba,Anjaw,Unknown,Arunachal Pradesh,True,28.0665856,96.5608784,39.3884820701343,control (non-VVP),True,-0.21711181252964917,-0.24112309983741426,24,29,0.6537318801135656,0.6400724584641664,4,4
62,Chillang,Anjaw,Unknown,Arunachal Pradesh,True,28.0356469,96.4227016,39.39275506569624,control (non-VVP),True,-0.2106862461258331,-0.27522387455047065,24,29,0.29578195973362087,0.20704036358025577,4,4
63,Kongra,Anjaw,Unknown,Arunachal Pradesh,True,28.0695862,96.5735857,39.47988017013702,control (non-VVP),True,-0.24890193995590693,-0.26635733265770883,24,29,0.3673396015094708,0.27290099381213695,4,4
64,Chingraliang 266703,Anjaw,Unknown,Arunachal Pradesh,True,28.0460551,96.4835718,39.5393782167354,control (non-VVP),True,-0.21100016345293368,-0.2534946800897536,24,29,0.24744173231122232,0.17729467004702965,4,4
65,Karangliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0328845,96.4619146,40.43236519724863,control (non-VVP),True,-0.22455419804284982,-0.24846259775944785,24,29,0.19399944268407898,0.13589743753207834,4,4
66,Mele 266697,Anjaw,Unknown,Arunachal Pradesh,True,28.0533163,96.5470204,40.43781127778156,control (non-VVP),True,-0.21497089207191797,-0.25590044412700313,24,29,0.3144623039170538,0.13812084563753824,4,4
67,Naraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0272329,96.4412739,40.635849010950814,control (non-VVP),True,-0.21256513416352651,-0.2313848091892499,24,29,0.29672259949064356,0.19349552334288353,4,4
68,Takaliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0190688,96.4160791,41.183443659739964,control (non-VVP),True,-0.24391771053014016,-0.28754272277922355,24,29,0.41105598924958253,0.23567350471429446,4,4
69,Chiphugam 266713,Anjaw,Unknown,Arunachal Pradesh,True,28.0127703,96.4014324,41.75594922834891,control (non-VVP),True,-0.25360394966601574,-0.24800210080485346,24,29,0.3245399110762613,0.16152439312699626,4,4
70,Khorlang,Anjaw,Unknown,Arunachal Pradesh,True,28.0257952,96.487329,41.867285997961865,control (non-VVP),True,-0.20697034626919017,-0.25295721383437547,24,29,0.3964463525113807,0.1570077418572212,4,4
71,Tummla,Anjaw,Unknown,Arunachal Pradesh,True,28.0474659,96.582792,42.16887500579057,control (non-VVP),True,-0.2019029865127694,-0.22107951515131746,24,29,0.15406879514322452,0.19262584580537723,4,4
72,Matong,Anjaw,Unknown,Arunachal Pradesh,True,28.0593901,96.6181031,42.274460160888594,control (non-VVP),True,-0.22236821782087288,-0.2540616365206969,24,29,0.42225663706792144,0.19535398264044687,4,4
73,Paya,Anjaw,Unknown,Arunachal Pradesh,True,28.0083682,96.4228615,42.47697440268165,control (non-VVP),True,-0.25121594786484436,-0.2669863077128354,24,29,0.36329180490666974,0.2679955680521488,4,4
74,Supnung,Anjaw,Unknown,Arunachal Pradesh,True,28.0571961,96.6182474,42.507523513004266,control (non-VVP),True,-0.21616342128272054,-0.24472856370990065,24,29,0.39715393044359787,0.18961794174390775,4,4
75,Huiliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0180568,96.4839829,42.628388791294,control (non-VVP),True,-0.18649001729831596,-0.2565572200106419,24,29,0.31624720338732,0.13249999629832537,4,4
76,Bruini,Dibang Valley,Unknown,Arunachal Pradesh,True,29.1545325,96.1488625,4.828929378390194,control (non-VVP),True,-0.2701834857944,-0.25011869057908914,98,118,0.29032960584043793,0.27867038962561325,4,4
77,Andrala Omkar,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0623725,95.6169709,12.49030644288396,control (non-VVP),True,-0.3017596186832545,-0.33076595035817274,25,31,0.2886710877005312,0.1868909202012773,4,4
78,阿进,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0685,96.0265797,14.857672933170102,control (non-VVP),True,-0.2376288659035832,-0.21081827013607787,98,118,0.3804460303111223,0.21365363242736474,4,4
79,Mawu,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0571162,96.0144078,16.0924783219876,control (non-VVP),True,-0.2166293847599576,-0.2208838884871113,98,118,0.3883717074467425,0.22998628714693742,4,4
