village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified
51,Nenuliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0695914,96.5025516,37.45951468005961,control (non-VVP),True
52,Khupa Township,Anjaw,Unknown,Arunachal Pradesh,True,28.0654038,96.4926664,37.65555089900309,control (non-VVP),True
53,Amliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0586788,96.4688356,37.75712507527925,control (non-VVP),True
54,Mompani,Anjaw,Unknown,Arunachal Pradesh,True,28.0513007,96.4415599,37.94515665109882,control (non-VVP),True
55,Langjon,Anjaw,Unknown,Arunachal Pradesh,True,28.053427,96.4586965,38.07941411415684,control (non-VVP),True
56,Thamptong 266699,Anjaw,Unknown,Arunachal Pradesh,True,28.0678982,96.519264,38.09248610840039,control (non-VVP),True
57,Talang,Anjaw,Unknown,Arunachal Pradesh,True,28.0840788,96.5820921,38.24089889824487,control (non-VVP),True
58,Mahikong,Anjaw,Unknown,Arunachal Pradesh,True,28.0544424,96.4828253,38.597326730514744,control (non-VVP),True
59,Blom,Anjaw,Unknown,Arunachal Pradesh,True,28.0783604,96.5876028,39.054611272326845,control (non-VVP),True
60,布拉母哈岗,Anjaw,Unknown,Arunachal Pradesh,True,28.0669816,96.5559722,39.19576507850824,control (non-VVP),True
61,Kamba,Anjaw,Unknown,Arunachal Pradesh,True,28.0665856,96.5608784,39.3884820701343,control (non-VVP),True
62,Chillang,Anjaw,Unknown,Arunachal Pradesh,True,28.0356469,96.4227016,39.392755065696235,control (non-VVP),True
63,Kongra,Anjaw,Unknown,Arunachal Pradesh,True,28.0695862,96.5735857,39.47988017013702,control (non-VVP),True
64,Chingraliang 266703,Anjaw,Unknown,Arunachal Pradesh,True,28.0460551,96.4835718,39.5393782167354,control (non-VVP),True
65,Karangliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0328845,96.4619146,40.43236519724863,control (non-VVP),True
66,Mele 266697,Anjaw,Unknown,Arunachal Pradesh,True,28.0533163,96.5470204,40.437811277781556,control (non-VVP),True
67,Naraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0272329,96.4412739,40.635849010950814,control (non-VVP),True
68,Takaliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0190688,96.4160791,41.183443659739964,control (non-VVP),True
69,Chiphugam 266713,Anjaw,Unknown,Arunachal Pradesh,True,28.0127703,96.4014324,41.75594922834891,control (non-VVP),True
70,Khorlang,Anjaw,Unknown,Arunachal Pradesh,True,28.0257952,96.487329,41.867285997961865,control (non-VVP),True
71,Tummla,Anjaw,Unknown,Arunachal Pradesh,True,28.0474659,96.582792,42.16887500579057,control (non-VVP),True
72,Matong,Anjaw,Unknown,Arunachal Pradesh,True,28.0593901,96.6181031,42.274460160888594,control (non-VVP),True
73,Paya,Anjaw,Unknown,Arunachal Pradesh,True,28.0083682,96.4228615,42.47697440268165,control (non-VVP),True
74,Supnung,Anjaw,Unknown,Arunachal Pradesh,True,28.0571961,96.6182474,42.507523513004266,control (non-VVP),True
75,Huiliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0180568,96.4839829,42.628388791294,control (non-VVP),True
76,Bruini,Dibang Valley,Unknown,Arunachal Pradesh,True,29.1545325,96.1488625,4.828929378390194,control (non-VVP),True
77,Andrala Omkar,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0623725,95.6169709,12.490306442883961,control (non-VVP),True
78,阿进,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0685,96.0265797,14.857672933170102,control (non-VVP),True
79,Mawu,Dibang Valley,Unknown,Arunachal Pradesh,True,29.0571162,96.0144078,16.0924783219876,control (non-VVP),True
